Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
2014,2,1,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,17,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),17,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),3.17,98392,
2015,10,16,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,3.17,98392,
416,,,Tsunami,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,,-6102,105423,
1311,,,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7.93,112308,
1410,3,5,,,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,3,180,Many (~101 to 1000 deaths),,,,,,,,,180,Many (~101 to 1000 deaths),,,,,,,,,37.12,139.97,
1672,4,24,,,Fayal,Azores,Portugal,1043,Stratovolcano,Historical,2,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,38.6,-28.73,
1780,10,31,Tsunami,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,31.58,130.67,
1800,,,,,Kieyo,Africa-E,Tanzania,2175,Stratovolcano,Historical,2,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-9.23,33.78,
1803,11,7,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1894,10,,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,3,10,Few (~1 to 50 deaths),,,,,,,,,10,Few (~1 to 50 deaths),,,,,,,,,-16.25,168.12,
1910,7,25,,,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,42.53,140.83,
1911,5,8,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,60,Some (~51 to 100 houses),1,Few (~1 to 50 deaths),,,,,,,60,Some (~51 to 100 houses),36.4,138.53,
1917,6,7,,Earthquake,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,3,325,Many (~101 to 1000 deaths),,,,,,,,,325,Many (~101 to 1000 deaths),,,,,,,,,13736,-89286,
1923,6,,,,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,-6.77,107.6,
1923,7,1,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,31.93,130.87,
1929,6,17,,,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,4,2,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,2,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,42.07,140.68,
1929,11,2,,,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,3,200,Many (~101 to 1000 deaths),,,,,,,,,200,Many (~101 to 1000 deaths),,,,,,,,,14756,-91552,
1939,7,24,Tsunami,,Kick-'em-Jenny,W Indies,Netherlands,-177,Submarine volcano,Historical,1,,,,,,,,,,,,,,,,,,,,,12.3,-61.63,
1951,8,31,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,3,7,Few (~1 to 50 deaths),,,,,,,,,7,Few (~1 to 50 deaths),,,,,,,,,-7.93,112308,
1966,8,12,,,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,4,39,Few (~1 to 50 deaths),,,1000.0,Many (~101 to 1000 deaths),,,,Some (~51 to 100 houses),39,Few (~1 to 50 deaths),,,1000.0,Many (~101 to 1000 deaths),,,,Some (~51 to 100 houses),3.67,125.5,
1971,10,29,,,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,2,15,Few (~1 to 50 deaths),,,,,,,,,15,Few (~1 to 50 deaths),,,,,,,,,-39.42,-71.93,
1974,7,28,,,Niigata-Yake-yama,Honshu-Japan,Japan,2400,Lava dome,Historical,2,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,36.92,138.03,
1977,4,5,,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,0,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-11.75,43.38,
1978,7,29,,,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,12.77,124.05,
1982,4,4,,,Chichon, El,Mexico,Mexico,1150,Tuff cone,Historical,5,33,Few (~1 to 50 deaths),,,,,,,,,33,Few (~1 to 50 deaths),,,,,,,,,17.36,-93228
1986,5,8,,,Akita-Yake-yama,Honshu-Japan,Japan,1366,Complex volcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,39.97,140.77,
2001,7,26,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),37734,15004,
2018,2,1,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,1,1,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,,,,19425,-155292,
-1645,,,,,Aniakchak,Alaska Peninsula,United States,1341,Caldera,Historical,6,,,,,,,,,,,,,,,,,,,,,56.88,-158.17,
1636,5,15,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1669,3,19,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,2,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,37734,15004,
1698,5,,Tsunami,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,3,,,,,,,,,,,,,,,,,,,,,40821,14426,
1706,5,5,Tsunami,,Tenerife,Canary Is,Spain,3715,Stratovolcano,Historical,2,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,SEVERE (~>$5 to $24 million),,,28271,-16641,
1707,12,16,,Earthquake,Fuji,Honshu-Japan,Japan,3776,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),75,Few (~1 to 50 houses),,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),75,Few (~1 to 50 houses),35.35,138.73,
1826,10,11,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,2,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-7.2,109.92,
1832,11,1,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,2,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,37734,15004,
1835,1,20,,,Cosiguina,Nicaragua,Nicaragua,872,Stratovolcano,Historical,5,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,12.98,-87.57,
1860,,,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,64.42,-17.33,
1871,8,7,,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,0.8,127325,
1872,,,,,Sinarka,Kuril Is,Russia,934,Stratovolcano,Historical,4,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,48875,154175,
1899,11,13,,,Dona Juana,Colombia,Colombia,4150,Stratovolcano,Historical,4,55,Some (~51 to 100 deaths),,,,,,,,,55,Some (~51 to 100 deaths),,,,,,,,,1.47,-76.92,
1905,3,10,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,40821,14426,
1924,5,10,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,19425,-155292,
1931,8,20,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,3,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1947,1,7,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1957,3,11,,Earthquake,Vsevidof,Aleutian Is,United States,2149,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,53.13,-168.68,
1963,9,5,,,Batur,Lesser Sunda Is,Indonesia,1717,Caldera,Historical,2,2,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 houses),2,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 houses),-8242,115375,
1967,7,8,,,Lengai, Ol Doinyo,Africa-E,Tanzania,2890,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-2751,35902
1969,1,28,,,Iya,Lesser Sunda Is,Indonesia,637,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,10.0,Few (~1 to 50 deaths),,,287,Many (~101 to 1000 houses),2,Few (~1 to 50 deaths),,,10.0,Few (~1 to 50 deaths),,,287,Many (~101 to 1000 houses),-8.88,121.63,
1988,7,30,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1990,3,26,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1994,6,6,,Earthquake,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,,,,,,,,,,,,650,Many (~101 to 1000 deaths),,,,,2.4,MODERATE (~$1 to $5 million),200,Many (~101 to 1000 houses),2.92,-76.05,
1999,8,15,,,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,56653,161.36,
1999,10,16,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,-1467,-78442,
2019,12,9,,,White Island,New Zealand,New Zealand,321,Stratovolcano,Historical,2,21,Few (~1 to 50 deaths),,,24.0,Few (~1 to 50 deaths),,,,,21,Few (~1 to 50 deaths),,,24.0,Few (~1 to 50 deaths),,,,,-37.52,177.18,
920,,,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,63.63,-19.05,
1104,10,15,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,5,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1151,,,,,Krisuvik,Iceland-SW,Iceland,379,Crater rows,Historical,1,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.93,-22.1,
1206,12,4,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1329,6,28,Tsunami,Earthquake,Etna,Italy,Italy,3350,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),37734,15004,
1485,1,,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1550,11,,,,Dukono,Halmahera-Indonesia,Indonesia,1185,Complex volcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,1.68,127.88,
1576,,,,,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,19514,-103.62,
1580,8,11,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,4,,,,,,,,,,,,,,,,,,,,,63.63,-19.05,
1598,5,13,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,800,Many (~101 to 1000 deaths),,,,,,,,,800,Many (~101 to 1000 deaths),,,,,,,,,36.4,138.53,
1730,9,1,,,Lanzarote,Canary Is,Spain,670,Fissure vent,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,29.03,-13.63,
1772,8,12,,,Papandayan,Java,Indonesia,2665,Stratovolcano,Historical,3,2957,Very Many (~1001 or more deaths),,,,,,,,Many (~101 to 1000 houses),2957,Very Many (~1001 or more deaths),,,,,,,,Many (~101 to 1000 houses),-7.32,107.73,
1781,4,11,Tsunami,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,4,23,Few (~1 to 50 deaths),,,,,,,,,38,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,31.58,130.67,
1826,10,,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,32.88,131.1,
1840,5,30,Tsunami,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,19425,-155292,
1840,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510,Stratovolcano,Historical,3,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-9.13,159.82,
1850,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,2,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-4271,152203,
1858,7,3,,,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,36.57,137.6,
1883,3,,,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,2,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-11.75,43.38,
1887,3,9,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3,15,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),15,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),13257,123685,
1890,6,29,,,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,2,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),0.32,127.4,
1902,8,30,Tsunami,,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,4,1500,Many (~101 to 1000 deaths),,,,,,,,,1500,Many (~101 to 1000 deaths),,,,,,,,,14.82,-61.17,
1902,10,25,,,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,6,2500,Very Many (~1001 or more deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),10000,Very Many (~1001 or more deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),14756,-91552,
1936,2,,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,3,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1937,2,9,,,Llaima,Chile-C,Chile,3125,Stratovolcano,Historical,2,3,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,3,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-38692,-71729,
1943,4,13,,,Azul, Cerro,Galapagos,Ecuador,1690,Shield volcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-0.9,-91.42
1951,1,21,,,Lamington,New Guinea,Papua New Guinea,1680,Stratovolcano,Historical,4,2942,Very Many (~1001 or more deaths),,,,Some (~51 to 100 deaths),,,,,2942,Very Many (~1001 or more deaths),,,,Some (~51 to 100 deaths),,,,,-8.95,148.15,
1970,3,2,,,Campi Flegrei,Italy,Italy,458,Caldera,Historical,,3,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),3,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),40827,14139,
1981,5,14,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,372,Many (~101 to 1000 deaths),120.0,Many (~101 to 1000 deaths),152.0,Many (~101 to 1000 deaths),,,,,372,Many (~101 to 1000 deaths),120.0,Many (~101 to 1000 deaths),152.0,Many (~101 to 1000 deaths),,,,,-8108,112.92,
1983,8,17,Tsunami,,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,1,,,,,,,,,,,,,,,,,,,,,-8.54,123.59,
1985,12,19,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,1,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,37734,15004,
1990,5,29,,,Sabancaya,Peru,Peru,5967,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-15.78,-71.85,
1990,11,21,,,Nyiragongo,Africa-C,Congo, DRC,3470,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-1.52,29.25
1997,9,2,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1999,1,20,Tsunami,,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,16.72,-62.18,
2000,11,,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-7542,110442,
1593,,,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,5,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-8125,114042,
1609,,,,,Tengchong,China-S,China,2865,Pyroclastic cone,Historical,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,25.32,98.47,
1692,6,4,,,Serua,Banda Sea,Pacific Ocean,641,Stratovolcano,Historical,4,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-6.3,130.0,
1718,2,1,,,Pico,Azores,Portugal,2351,Stratovolcano,Historical,2,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,38.47,-28.4,
1846,5,7,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,63,Some (~51 to 100 deaths),,,,,,,,,63,Some (~51 to 100 deaths),,,,,,,,,-38.82,176.0,
1866,2,20,,,Santorini,Greece,Greece,329,Shield volcano,Historical,2,1,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,36404,25396,
1877,2,14,Tsunami,Earthquake,Mauna Loa,Hawaiian Is,United States,4170,Shield volcano,Historical,0,,,,,,,,,,,,,,,,,,,,,19475,-155608,
1883,12,,,,Bagana,Bougainville-SW Paci,Papua New Guinea,1750,Lava cone,Historical,3,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-6.14,155195,
1886,8,31,,,Niuafo'ou,Tonga-SW Pacific,Tonga,260,Shield volcano,Historical,4,,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 deaths),,Few (~1 to 50 deaths),,,,,,,-15.6,-175.63,
1896,3,15,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,2,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,31.93,130.87,
1902,5,8,Tsunami,,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,4,28000,Very Many (~1001 or more deaths),,,,,,,,,28000,Very Many (~1001 or more deaths),,,,,,,,,14.82,-61.17,
1914,,,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,,100,Some (~51 to 100 deaths),,,,,,,,,100,Some (~51 to 100 deaths),,,,,,,,,-15.4,167.83,
1923,3,11,,,Papandayan,Java,Indonesia,2665,Stratovolcano,Historical,1,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-7.32,107.73,
1928,1,23,,,Santorini,Greece,Greece,329,Shield volcano,Historical,2,48,Few (~1 to 50 deaths),,,,,,,,,48,Few (~1 to 50 deaths),,,,,,,,,36404,25396,
1947,9,16,,,Akagi,Honshu-Japan,Japan,1828,Stratovolcano,Historical,,699,Many (~101 to 1000 deaths),,,,,,,,,699,Many (~101 to 1000 deaths),,,,,,,,,36.53,139.18,
1963,3,18,Tsunami,,Agung,Lesser Sunda Is,Indonesia,3142,Stratovolcano,Historical,5,1028,Very Many (~1001 or more deaths),,Many (~101 to 1000 deaths),624.0,Many (~101 to 1000 deaths),,,,,1028,Very Many (~1001 or more deaths),,Many (~101 to 1000 deaths),624.0,Many (~101 to 1000 deaths),,,,,-8342,115508,
1963,5,5,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1965,9,28,Tsunami,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,4,355,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),355,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),14002,120993,
1973,1,27,,,Vestmannaeyjar,Iceland-S,Iceland,279,Submarine volcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,63.43,-20.28,
1974,2,11,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,3,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,2.78,125.48,
1975,11,29,Tsunami,Earthquake,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,0,,,,,,,,,,,2,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),4,MODERATE (~$1 to $5 million),,,19425,-155292,
1982,5,27,,,Chichon, El,Mexico,Mexico,1150,Tuff cone,Historical,5,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,17.36,-93228
1986,8,21,,,Oku Volc Field,Africa-W,Cameroon,3011,Maar,Radiocarbon,3,1700,Very Many (~1001 or more deaths),,,300.0,Many (~101 to 1000 deaths),,,,,1700,Very Many (~1001 or more deaths),,,300.0,Many (~101 to 1000 deaths),,,,,6.25,10.5,
1992,,,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-19.52,169425,
1998,10,30,,,San Cristobal,Nicaragua,Nicaragua,1745,Stratovolcano,Historical,,1620,Very Many (~1001 or more deaths),,,,,,,,,1620,Very Many (~1001 or more deaths),,,,,,,,,12702,-87004,
2004,6,8,,,Tengger Caldera,Java,Indonesia,2329,Stratovolcano,Historical,2,2,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,,,,,,,,,,,-7942,112.95,
2007,4,18,,,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,,,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),2.92,-76.05,
2008,5,2,,,Chaiten,Chile-S,Chile,962,Caldera,Holocene,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-42833,-72646,
2008,8,8,Tsunami,,Kasatochi,Aleutian Is,United States,314,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,52.18,-175.5,
